graph_name,n_vertices,n_edges,algorithm,repetition,time_seconds,memory_mb,peak_memory_mb,cpu_seconds,mst_weight,mst_edges_count,valid,validation_msg,mem_rss_mb,mem_rss_before_mb
Grafo3,37128,54867,prim,9,0.1299977000016952,2.4776229858398438,3.3275070190429688,0.109375,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.9765625,55.1875
Grafo3,37128,54867,prim,10,0.1281228000007104,2.4776229858398438,3.3275070190429688,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.12109375,54.95703125
Grafo3,37128,54867,kruskal,1,0.1113751999946544,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.16796875,54.39453125
Grafo3,37128,54867,kruskal,2,0.11161499998706859,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.08203125,53.46484375
Grafo3,37128,54867,kruskal,3,0.10953700001118705,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.1484375,55.1875
Grafo3,37128,54867,kruskal,4,0.10822310000366997,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.1171875,54.96484375
Grafo3,37128,54867,kruskal,5,0.11060310000902973,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.91015625,54.390625
Grafo3,37128,54867,kruskal,6,0.10741100000450388,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.1328125,53.48828125
Grafo3,37128,54867,kruskal,7,0.10913789999904111,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.89453125,53.765625
Grafo3,37128,54867,kruskal,8,0.10788500000489876,2.4415740966796875,3.4268226623535156,0.09375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.04296875,53.46875
Grafo3,37128,54867,kruskal,9,0.10911990000749938,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.90234375,55.15234375
Grafo3,37128,54867,kruskal,10,0.11019140000280458,2.4415740966796875,3.4268226623535156,0.109375,3061889.578756748,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.109375,54.03515625
Grafo4,12368,16965,prim,1,0.033929299999726936,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.0546875,53.28515625
Grafo4,12368,16965,prim,2,0.03534400000353344,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.32421875,52.83203125
Grafo4,12368,16965,prim,3,0.03445740000461228,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.71484375,52.19921875
Grafo4,12368,16965,prim,4,0.03490630000305828,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.32421875,52.77734375
Grafo4,12368,16965,prim,5,0.033762100007152185,0.735595703125,1.0189666748046875,0.046875,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.90234375,52.203125
Grafo4,12368,16965,prim,6,0.034318999998504296,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.41796875,52.76953125
Grafo4,12368,16965,prim,7,0.03422839999257121,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.90625,52.203125
Grafo4,12368,16965,prim,8,0.03371880001213867,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.328125,52.7578125
Grafo4,12368,16965,prim,9,0.03392359999998007,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.91015625,52.2109375
Grafo4,12368,16965,prim,10,0.03387710000970401,0.735595703125,1.0189666748046875,0.03125,4794641.147949267,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.32421875,52.76953125
Grafo4,12368,16965,kruskal,1,0.03422839999257121,0.7356491088867188,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.8515625,52.20703125
Grafo4,12368,16965,kruskal,2,0.034614200005307794,0.7356491088867188,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.484375,52.6953125
Grafo4,12368,16965,kruskal,3,0.03359979999368079,0.7356491088867188,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.890625,52.1171875
Grafo4,12368,16965,kruskal,4,0.034342800005106255,0.7356491088867188,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.49609375,52.7421875
Grafo4,12368,16965,kruskal,5,0.0340511999966111,0.7356491088867188,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.87109375,52.109375
Grafo4,12368,16965,kruskal,6,0.03412110000499524,0.7356719970703125,1.0539436340332031,0.03125,4794641.147949264,12367,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),52.50390625,52.7109375
